FileName,FileExt,DateModified,Size_KB,Size_GB,Source,Path,SimplePath,ParentPath
prefs,.dll,2024-11-21 19:17:56.059803,35.21,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\prefs.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\prefs.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
kinit,.exe,2024-11-21 19:17:55.878354,33.21,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\kinit.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\kinit.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-core-console-l1-1-0,.dll,2024-11-21 19:17:55.684798,41.73,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-console-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-core-console-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
rmiregistry,.exe,2024-11-21 19:17:55.363471,33.21,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\rmiregistry.exe,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\rmiregistry.exe,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
vcruntime140,.dll,2024-11-21 19:17:55.145693,137.26,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\vcruntime140.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\vcruntime140.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-crt-utility-l1-1-0,.dll,2024-11-21 19:17:55.021787,41.63,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-utility-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-utility-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
instrument,.dll,2024-11-21 19:17:54.915339,59.71,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\instrument.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\instrument.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-crt-filesystem-l1-1-0,.dll,2024-11-21 19:17:54.774282,41.63,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-filesystem-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-filesystem-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
api-ms-win-crt-time-l1-1-0,.dll,2024-11-21 19:17:54.559214,41.63,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-time-l1-1-0.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin\api-ms-win-crt-time-l1-1-0.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\bin
NOTICE,,2024-11-21 19:17:54.278440,2.34,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\NOTICE,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\NOTICE,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre
release,,2024-11-21 19:17:54.093432,1.63,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\release,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre\release,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\jre
jdatapath,.dll,2024-11-21 19:17:53.780622,40.5,0.0,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\native\windows\jdatapath.dll,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\native\windows\jdatapath.dll,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\native\windows
commons-lang3-3.14.0,.jar,2024-11-21 19:17:53.160407,642.53,0.0006,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\commons-lang3-3.14.0.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\commons-lang3-3.14.0.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
jetty-webapp-10.0.16,.jar,2024-11-21 19:17:52.855055,154.8,0.0001,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\jetty-webapp-10.0.16.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\jetty-webapp-10.0.16.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
log4j-api-2.22.1,.jar,2024-11-21 19:17:52.526396,327.15,0.0003,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\log4j-api-2.22.1.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\log4j-api-2.22.1.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
jetty-servlet-10.0.16,.jar,2024-11-21 19:17:52.262087,161.53,0.0002,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\jetty-servlet-10.0.16.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\jetty-servlet-10.0.16.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
commons-lang-2.6,.jar,2024-11-21 19:17:51.820589,277.56,0.0003,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\commons-lang-2.6.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\commons-lang-2.6.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
jetty-servlet-api-4.0.6,.jar,2024-11-21 19:17:51.537695,266.68,0.0003,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\jetty-servlet-api-4.0.6.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\jetty-servlet-api-4.0.6.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
commons-collections-3.2.2,.jar,2024-11-21 19:17:51.213263,574.55,0.0005,Downloads,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\commons-collections-3.2.2.jar,Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib\commons-collections-3.2.2.jar,C:\Users\ASUS\Downloads\openrefine-win-with-java-3.8.6\openrefine-3.8.6\server\target\lib
